barcode,category,filename,frame_timestamp,has_multiple_categories,id,is_price_tag,organic,origins,price1_currency,price1_is_discounted,price1_per,price1_sign,price1_value,price2_currency,price2_is_discounted,price2_per,price2_sign,price2_value,price3_currency,price3_is_discounted,price3_per,price3_sign,price3_value,price4_currency,price4_is_discounted,price4_per,price4_sign,price4_value,product_name,qr_code_data,qr_error,type,uncertain_barcode_or_product_name,x_max,x_min,y_max,y_min
4680140271160,,25_12-20.mp4,653,,6.0,True,False,,RUB,False,UNIT,,144.99,RUB,True,UNIT,,129.99,RUB,False,LITER,,144.99,RUB,True,LITER,,129.99,Напиток безалкогольный ABRAU LIGHT Аромат. розовый с газ. (Россия) 0.25L,,No QR code detected,PRODUCT,False,928,386,1701,1424
4600000000000,,25_12-20.mp4,820,,5.0,True,False,,RUB,False,LITER,,252.0,RUB,True,UNIT,,129.99,,,,,,,,,,,SANTO STEFANO Rosso (Pocca) 0.75L,,"not enough values to unpack (expected 3, got 0)",PRODUCT,False,2135,1910,1783,1522
,,25_12-20.mp4,1898,,4.0,True,False,,EUR,False,UNIT,,11.99,EUR,False,KILOGRAM,,16.84,,,,,,,,,,,CARL JUNG CEREA,,No QR code detected,PRODUCT,False,1452,1164,3278,3031
,,25_12-20.mp4,3203,,3.0,True,False,,RUB,False,UNIT,,699.99,RUB,False,KILOGRAM,,1358.0,,,,,,,,,,,Вино безалкогольное LE PETIT SECRET,,No QR code detected,PRODUCT,False,1429,1140,3291,3046
4680140274438,,25_12-20.mp4,747,,2.0,True,False,,RUB,False,LITER,,144.99,RUB,True,LITER,,129.99,,,,,,,,,,,Напиток безалкогольный ABRAU LIGHT Аромат. с/газ. (Россия) 0.25L,,,PRODUCT,False,1271,950,1722,1448
,,25_12-20.mp4,699,,1.0,,,,RUB,False,LITER,,129.99,RUB,False,LITER,,252.11,,,,,,,,,,,,,,PRODUCT,,1682,1408,1752,1477
,,25_12-20.mp4,1116,False,9.0,True,False,,RUB,False,UNIT,,10.6,,,,,,,,,,,,,,,,MUSCHI MAS бел. пш. сух. Астрахань 0.75л,,No QR code detected,PRODUCT,False,1378,1074,3264,3022
547,,25_12-20.mp4,2401,,10.0,True,False,,RUB,False,UNIT,,259.99,RUB,False,UNIT,,529.98,,,,,,,,,,,Мука белая бездрожжевая ABRAD LIGHT Zero,,No QR code detected,PRODUCT,False,780,457,1694,1417
,,25_12-20.mp4,3898,,11.0,True,False,,EUR,False,UNIT,,10.49,EUR,True,UNIT,,23.0,,,,,,,,,,,BANANE BIODYNAMIQUE LE PETIT BERET Rose Privilege [France] 0 PZ,,No QR code detected,PRODUCT,False,987,692,3294,3055
,,25_12-20.mp4,2143,,7.0,True,False,,RUB,False,UNIT,,129.99,RUB,True,UNIT,,116.99,,,,,,,,,,,АБРИКОС ЛИГТ Абрикос разливной с/в (Россия) 2.25л,,No QR code detected,PRODUCT,False,1589,1037,1728,1410
,,25_12-20.mp4,4349,,14.0,True,False,,RUB,False,UNIT,,760.0,RUB,False,UNIT,,805.0,RUB,False,UNIT,,849.0,RUB,False,UNIT,,894.0,DUCET,,No QR code detected,PRODUCT,True,985,676,1719,1435
,,25_12-20.mp4,2603,,13.0,True,,,,,,,,,,,,,,,,,,,,,,,,,No QR code detected,CATEGORY,True,1738,1558,3839,3767
,,25_12-20.mp4,4456,,15.0,,,,EUR,False,KILOGRAM,,5.49,,,,,,,,,,,,,,,,,,No QR code detected,CATEGORY,,745,478,3297,3055
,,25_12-20.mp4,4605,,16.0,True,False,,EUR,False,UNIT,,7.99,EUR,False,LITER,,9.47,,,,,,,,,,,Simpson Donuts,,No QR code detected,PRODUCT,False,435,162,3262,3034
,,25_12-20.mp4,4949,,17.0,True,False,,RUB,False,UNIT,,1299.99,RUB,False,LITER,,1684.7,,,,,,,,,,,"Вино безалкогольное DOPPIO PASSO Альтернатива Россо 1,75л",,"not enough values to unpack (expected 3, got 0)",PRODUCT,False,605,303,1721,1451
,,25_12-20.mp4,4949,False,19.0,True,False,,EUR,False,UNIT,,13.64,,,,,,,,,,,,,,,,Сметана 10% Панна Мария,,"not enough values to unpack (expected 3, got 0)",PRODUCT,True,243,0,3254,2979
